fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation,mandate_length
John Stuart AGNEW,96897,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
Jan Philipp ALBRECHT,96736,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Richard ASHWORTH,28132,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance,None,Socialistisk Folkeparti,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Inés AYALA SENDER,28292,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partido Socialista Obrero Español,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Pilar AYUSO,4319,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Johannes Cornelis VAN BAALEN,96937,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,None,Volkspartij voor Vrijheid en Democratie,2009-2014,07-2009,male,centre,2 terms (7-8)
Georges BACH,97293,Luxembourg,European People's Party,None,Parti chrétien social luxembourgeois,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Zigmantas BALČYTIS,96680,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Lietuvos socialdemokratų partija,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Zoltán BALCZÓ,96877,Hungary,Non-attached Members,None,Jobbik Magyarországért Mozgalom,2009-2014,07-2009,male,Non aligned,2 terms (7-8)
Burkhard BALZ,96997,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Gerard BATTEN,28497,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
Catherine BEARDER,96955,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe,None,Liberal Democrats Party,2009-2014,07-2009,female,centre,2 terms (7-8)
Bas BELDER,4507,Netherlands,Europe of freedom and democracy Group,None,ChristenUnie - Staatkundig Gereformeerde Parti,2009-2014,07-2009,female,right,2 terms (7-8)
Ivo BELET,28257,Belgium,European People's Party,None,Christen-Democratisch & Vlaams,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Bendt BENDTSEN,96705,Denmark,European People's Party,None,Det Konservative Folkeparti,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Monika BEŇOVÁ,23868,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,SMER-Sociálna demokracia,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Pervenche BERÈS,1985,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Parti socialiste,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Izaskun BILBAO BARANDICA,96922,Spain,Group of the Alliance of Liberals and Democrats for Europe,None,Partido Nacionalista Vasco,2009-2014,07-2009,female,centre,2 terms (7-8)
Mara BIZZOTTO,97198,Italy,Europe of freedom and democracy Group,None,Lega Nord,2009-2014,07-2009,female,right,2 terms (7-8)
Vilija BLINKEVIČIŪTĖ,96681,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Lietuvos socialdemokratų partija,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Reimer BÖGE,1037,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Mario BORGHEZIO,21817,Italy,Europe of freedom and democracy Group,Non-attached Members,Lega Nord,2009-2014,07-2009,male,right,2 terms (7-8)
Victor BOŞTINARU,39711,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,male,centre-left,2 terms (7-8)
José BOVÉ,96744,France,Group of the Greens/European Free Alliance,None,Europe Écologie,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Philip BRADBOURN,4540,United Kingdom,European Conservatives and Reformists Group,None,Conservative Party,2009-2014,07-2009,male,right,2 terms (7-8)
Elmar BROK,1263,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Udo BULLMANN,4267,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Sozialdemokratische Partei Deutschlands,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Cristian-Silviu BUŞOI,38420,Romania,Group of the Alliance of Liberals and Democrats for Europe,None,Partidul Naţional Liberal,2009-2014,07-2009,male,centre,2 terms (7-8)
Reinhard BÜTIKOFER,96739,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Jerzy BUZEK,28269,Poland,European People's Party,None,Platforma Obywatelska,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Alain CADEC,96849,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Wim van de CAMP,96754,Netherlands,European People's Party,None,Christen Democratisch Appèl,2009-2014,07-2009,male,centre-right,2 terms (7-8)
David CAMPBELL BANNERMAN,96912,United Kingdom,Europe of freedom and democracy Group,European Conservatives and Reformists Group ,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
David CASA,28122,Malta,European People's Party,None,Partit Nazzjonalista,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Daniel CASPARY,28219,Germany,European People's Party,None,Christlich Demokratische Union Deutschlands,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Pilar del CASTILLO VERA,28390,Spain,European People's Party,None,Partido Popular,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Jean-Marie CAVADA,28206,France,European People's Party,None,Nouveau Centre,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Nessa CHILDERS,96603,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Non-attached Members,Labour Party,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Ole CHRISTENSEN,28154,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Socialdemokratiet,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Carlos COELHO,1892,Portugal,European People's Party,None,Partido Social Democrata,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Sergio Gaetano COFFERATI,96915,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Lara COMI,96775,Italy,European People's Party,None,Il Popolo della Libertà,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Anna Maria CORAZZA BILDT,96674,Sweden,European People's Party,None,Moderata Samlingspartiet,2009-2014,07-2009,female,centre-right,2 terms (7-8)
Silvia COSTA,96917,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Andrea COZZOLINO,96880,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partito Democratico,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Michael CRAMER,28238,Germany,Group of the Greens/European Free Alliance,None,Bündnis 90/Die Grünen,2009-2014,07-2009,male,centre-left,2 terms (7-8)
Corina CREȚU,33997,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Brian CROWLEY,2109,Ireland,Group of the Alliance of Liberals and Democrats for Europe,None,Fianna Fáil Party,2009-2014,07-2009,male,centre,2 terms (7-8)
Ryszard CZARNECKI,28372,Poland,European Conservatives and Reformists Group,None,Prawo i Sprawiedliwość,2009-2014,07-2009,male,right,2 terms (7-8)
Peter van DALEN,96809,Netherlands,European Conservatives and Reformists Group,None,ChristenUnie - Staatkundig Gereformeerde Parti,2009-2014,07-2009,male,right,2 terms (7-8)
Viorica DĂNCILĂ,95281,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,None,Partidul Social Democrat,2009-2014,07-2009,female,centre-left,2 terms (7-8)
Arnaud DANJEAN,96747,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
Michel DANTIN,97296,France,European People's Party,None,Union pour un Mouvement Populaire,2009-2014,07-2009,male,centre-right,2 terms (7-8)
William (The Earl of) DARTMOUTH,96958,United Kingdom,Europe of freedom and democracy Group,None,United Kingdom Independence Party,2009-2014,07-2009,male,right,2 terms (7-8)
