fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender,orientation
Pietro ADONNINO,957,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Susanna AGNELLI,943,Italy,Liberal and Democratic Group,None,Partito repubblicano italiano ,1979-1984,07-1979,female,centre
Giorgio ALMIRANTE,1478,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1979-1984,07-1979,male,Non aligned
Giorgio AMENDOLA,928,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Dario ANTONIOZZI,1789,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Gaetano ARFE',938,Italy,Socialist Group,None,Partito socialista italiano ,1979-1984,07-1979,male,centre-left
Maria Fabrizia BADUEL GLORIOSO,906,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1979-1984,07-1979,female,left
Giovanni BARBAGLI,934,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Carla BARBARELLA,1773,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,female,left
Paolo BARBI,935,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Enrico BERLINGUER,931,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Giovanni BERSANI,1781,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,male,centre-right
Vincenzo BETTIZA,977,Italy,Liberal and Democratic Group,None,Partito liberale italiano ,1979-1984,07-1979,male,centre
Aldo BONACCINI,1770,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Emma BONINO,1566,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito radicale ,1979-1984,07-1979,female,Non aligned
Antonino BUTTAFUOCO,1764,Italy,Non-attached Members,None,Movimento sociale italiano - Destra nazionale ,1979-1984,07-1979,male,Non aligned
Mario CAPANNA,912,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Democrazia proletaria ,1979-1984,07-1979,male,Non aligned
Umberto CARDIA,913,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Tullia CARETTONI ROMAGNOLI,900,Italy,Communist and Allies Group,None,Indipendenti di sinistra ,1979-1984,07-1979,female,left
Antonio CARIGLIA,1013,Italy,Socialist Group,None,Partito socialista democratico italiano ,1979-1984,07-1979,male,centre-left
Angelo CAROSSINO,1730,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,European People's Party,None,Democrazia cristiana ,1979-1984,07-1979,female,centre-right
Luciana CASTELLINA,947,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito democratico di unità proletaria ,1979-1984,07-1979,female,Non aligned
Manlio CECOVINI,914,Italy,Liberal and Democratic Group,None,Partito liberale italiano ,1979-1984,07-1979,male,centre
Domenico CERAVOLO,915,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,male,left
Maria Lisa CINCIARI RODANO,1705,Italy,Communist and Allies Group,None,Partito comunista italiano ,1979-1984,07-1979,female,left
