fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Pietro ADONNINO,957,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Susanna AGNELLI,943,Italy,Liberal and Democratic Group,None,Partito Repubblicano Italiano,1979-1984,07-1979,female
Giorgio ALMIRANTE,1478,Italy,Non-attached Members,None,Movimento Sociale Italiano - Destra Nazionale,1979-1984,07-1979,male
Giorgio AMENDOLA,928,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Dario ANTONIOZZI,1789,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Gaetano ARFE',938,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,07-1979,male
Maria Fabrizia BADUEL GLORIOSO,906,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1979-1984,07-1979,female
Giovanni BARBAGLI,934,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Carla BARBARELLA,1773,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,female
Paolo BARBI,935,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Enrico BERLINGUER,931,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Giovanni BERSANI,1781,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
Vincenzo BETTIZA,977,Italy,Liberal and Democratic Group,None,Partito Liberale Italiano,1979-1984,07-1979,male
Aldo BONACCINI,1770,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Emma BONINO,1566,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito Radicale,1979-1984,07-1979,female
Antonino BUTTAFUOCO,1764,Italy,Non-attached Members,None,Movimento Sociale Italiano - Destra Nazionale,1979-1984,07-1979,male
Mario CAPANNA,912,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Democrazia Proletaria,1979-1984,07-1979,male
Umberto CARDIA,913,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Tullia CARETTONI ROMAGNOLI,900,Italy,Communist and Allies Group,None,Indipendenti Di Sinistra,1979-1984,07-1979,female
Antonio CARIGLIA,1013,Italy,Socialist Group,None,Partito Socialista Democratico Italiano,1979-1984,07-1979,male
Angelo CAROSSINO,1730,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,female
Luciana CASTELLINA,947,Italy,Group for the Technical Coordination and Defence of Independent Groups and Members,None,Partito Democratico Di Unità Proletaria,1979-1984,07-1979,female
Manlio CECOVINI,914,Italy,Liberal and Democratic Group,None,Partito Liberale Italiano,1979-1984,07-1979,male
Domenico CERAVOLO,915,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,male
Maria Lisa CINCIARI RODANO,1705,Italy,Communist and Allies Group,None,Partito Comunista Italiano,1979-1984,07-1979,female
Gaetano CINGARI,907,Italy,Socialist Group,None,Partito Socialista Italiano,1979-1984,10-1983,male
Arnaldo COLLESELLI,911,Italy,Group of the European People's Party (Christian,None,Democrazia Cristiana,1979-1984,07-1979,male
