fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Lars ADAKTUSSON,124990,Sweden,Group of the European People's Party (Christian Democrats) ,None,Kristdemokraterna ,2014-2019,07-2014,male
Asim ADEMOV,189525,Bulgaria,Group of the European People's Party (Christian Democrats) ,None,Citizens for European Development of Bulgaria ,2014-2019,09-2017,male
Isabella ADINOLFI,124831,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female
Marco AFFRONTE,124797,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,male
Laura AGEA,124811,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female
John Stuart AGNEW,96897,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Clara AGUILERA,125045,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista Obrero Español ,2014-2019,07-2014,female
Daniela AIUTO,124842,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female
Tim AKER,99650,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Marina ALBIOL GUZMÁN,125048,Spain,Confederal Group of the European United Left ,None,Izquierda Unida ,2014-2019,07-2014,female
Jan Philipp ALBRECHT,96736,Germany,Group of the Greens/European Free Alliance ,None,Bündnis 90/Die Grünen ,2014-2019,07-2014,male
Louis ALIOT,30190,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national ,2014-2019,07-2014,male
Michèle ALLIOT-MARIE,1179,France,Group of the European People's Party (Christian Democrats) ,None,Union pour un Mouvement Populaire ,2014-2019,07-2014,female
Lucy ANDERSON,124949,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Labour Party ,2014-2019,07-2014,female
Martina ANDERSON,113959,United Kingdom,Confederal Group of the European United Left ,None,Sinn Fein ,2014-2019,07-2014,female
Max ANDERSSON,124994,Sweden,Group of the Greens/European Free Alliance ,None,Miljöpartiet de gröna ,2014-2019,07-2014,male
Eric ANDRIEU,113892,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti socialiste ,2014-2019,07-2014,male
Laima Liucija ANDRIKIENĖ,28276,Lithuania,Group of the European People's Party (Christian Democrats) ,None,Tėvynės sąjunga-Lietuvos krikščionys demokratai ,2014-2019,05-2016,female
Nikos ANDROULAKIS,125110,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Panhellenic Socialist Movement - Olive Tree ,2014-2019,07-2014,male
Gerolf ANNEMANS,124973,Belgium,Non-attached Members,Europe of Nations and Freedom Group ,Vlaams Belang ,2014-2019,07-2014,male
Andrus ANSIP,124696,Estonia,Group of the Alliance of Liberals and Democrats for Europe ,None,Eesti Reformierakond ,2014-2019,07-2014,male
Maria ARENA,124936,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti Socialiste ,2014-2019,07-2014,female
Miguel ARIAS CAÑETE,1351,Spain,Group of the European People's Party (Christian Democrats) ,None,Partido Popular ,2014-2019,07-2014,male
Pablo ARIAS ECHEVERRÍA,96808,Spain,Group of the European People's Party (Christian Democrats) ,None,Partido Popular ,2014-2019,05-2019,male
Pascal ARIMONT,24922,Belgium,Group of the European People's Party (Christian Democrats) ,None,Christlich Soziale Partei ,2014-2019,07-2014,male
Marie-Christine ARNAUTU,124748,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national ,2014-2019,07-2014,female
Jonathan ARNOTT,124958,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Jean ARTHUIS,124773,France,Group of the Alliance of Liberals and Democrats for Europe ,None,Union des Démocrates et Indépendants ,2014-2019,07-2014,female
Richard ASHWORTH,28132,United Kingdom,European Conservatives and Reformists Group ,Group of the European People's Party (Christian Democrats) ,Conservative Party ,2014-2019,07-2014,male
Francisco ASSIS,28307,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista ,2014-2019,07-2014,male
Janice ATKINSON,124938,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,female
Margrete AUKEN,28161,Denmark,Group of the Greens/European Free Alliance ,None,Socialistisk Folkeparti ,2014-2019,07-2014,female
Petras AUŠTREVIČIUS,124766,Lithuania,Group of the Alliance of Liberals and Democrats for Europe ,None,Lietuvos Respublikos liberalų sąjūdis ,2014-2019,07-2014,male
Inés AYALA SENDER,28292,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Partido Socialista Obrero Español ,2014-2019,07-2014,female
Pilar AYUSO,4319,Spain,Group of the European People's Party (Christian Democrats) ,None,Partido Popular ,2014-2019,07-2014,female
Johannes Cornelis VAN BAALEN,96937,Netherlands,Group of the Alliance of Liberals and Democrats for Europe ,None,Volkspartij voor Vrijheid en Democratie ,2014-2019,07-2014,male
Georges BACH,97293,Luxembourg,Group of the European People's Party (Christian Democrats) ,None,Parti chrétien social luxembourgeois ,2014-2019,07-2014,male
Guillaume BALAS,124744,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti socialiste ,2014-2019,07-2014,male
Zigmantas BALČYTIS,96680,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Lietuvos socialdemokratų partija ,2014-2019,07-2014,male
Zoltán BALCZÓ,96877,Hungary,Non-attached Members,None,Jobbik Magyarországért Mozgalom ,2014-2019,07-2014,male
Burkhard BALZ,96997,Germany,Group of the European People's Party (Christian Democrats) ,None,Christlich Demokratische Union Deutschlands ,2014-2019,07-2014,male
Nikolay BAREKOV,124871,Bulgaria,European Conservatives and Reformists Group ,None,Bulgaria without Censorship ,2014-2019,07-2014,male
Amjad BASHIR,124956,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Gerard BATTEN,28497,United Kingdom,Europe of Freedom and Direct Democracy Group ,Non-attached Members,United Kingdom Independence Party ,2014-2019,07-2014,male
Nicolas BAY,124760,France,Non-attached Members,Europe of Nations and Freedom Group ,Front national ,2014-2019,07-2014,male
Hugues BAYET,125002,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament ,None,Parti Socialiste ,2014-2019,07-2014,male
Catherine BEARDER,96955,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe ,None,Liberal Democrats ,2014-2019,07-2014,female
Beatriz BECERRA BASTERRECHEA,125040,Spain,Group of the Alliance of Liberals and Democrats for Europe ,None,"Unión, Progreso y Democracia ",2014-2019,07-2014,female
Heinz K. BECKER,107041,Austria,Group of the European People's Party (Christian Democrats) ,None,Österreichische Volkspartei ,2014-2019,07-2014,male
Tiziana BEGHIN,124777,Italy,Europe of Freedom and Direct Democracy Group ,Non-attached Members,Movimento 5 Stelle ,2014-2019,07-2014,female
Bas BELDER,4507,Netherlands,European Conservatives and Reformists Group ,None,Staatkundig Gereformeerde Partij ,2014-2019,07-2014,female
Ivo BELET,28257,Belgium,Group of the European People's Party (Christian Democrats) ,None,Christen-Democratisch & Vlaams ,2014-2019,07-2014,male
Bendt BENDTSEN,96705,Denmark,Group of the European People's Party (Christian Democrats) ,None,Det Konservative Folkeparti ,2014-2019,07-2014,male
