,fullName,country,politicalGroup,id,nationalPoliticalGroup
0,Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,Independent
1,Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria
2,Isabella ADINOLFI,Italy,Group of the European People's Party (Christian Democrats),124831,Forza Italia
3,Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,Lega
4,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista
5,Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,VOX
6,Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español
7,Alviina ALAMETSÄ,Finland,Group of the Greens/European Free Alliance,204335,Vihreä liitto
8,João ALBUQUERQUE,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237224,Partido Socialista
9,Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union of Democratic Forces
10,François ALFONSI,France,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires
11,Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,197848,Movement for Rights and Freedoms
12,Abir AL-SAHLANI,Sweden,Renew Europe Group,197400,Centerpartiet
13,Álvaro AMARO,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata
14,Andris AMERIKS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,Gods kalpot Rīgai
15,Christine ANDERSON,Germany,Identity and Democracy Group,197475,Alternative für Deutschland
16,Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,197448,Bündnis 90/Die Grünen
17,Barry ANDREWS,Ireland,Renew Europe Group,204332,Fianna Fáil Party
18,Eric ANDRIEU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti socialiste
19,Mathilde ANDROUËT,France,Identity and Democracy Group,197691,Rassemblement national
20,Nikos ANDROULAKIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,PASOK-KINAL
21,Marc ANGEL,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti ouvrier socialiste luxembourgeois
22,Gerolf ANNEMANS,Belgium,Identity and Democracy Group,124973,Vlaams Belang
23,Andrus ANSIP,Estonia,Renew Europe Group,124696,Eesti Reformierakond
24,Attila ARA-KOVÁCS,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,Demokratikus Koalíció
25,Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste
26,Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular
27,Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei
28,Bartosz ARŁUKOWICZ,Poland,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska
29,Konstantinos ARVANITIS,Greece,The Left group in the European Parliament - GUE/NGL,197701,Coalition of the Radical Left
