fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Gordon J. ADAM,1427,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Maria Adelaide AGLIETTA,1114,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Arcobaleno ,07-1989,female
Sylviane H. AINARDI,1133,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,female
Alexandros ALAVANOS,1461,Greece,Left Unity,None,1989-1994,Synaspismos tis Aristeras kai tis Proodou ,07-1989,male
Siegbert ALBER,1271,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Mechthild von ALEMANN,942,Germany,Liberal and Democratic Reformist Group,None,1989-1994,Freie Demokratische Partei ,07-1989,female
Jean-Marie ALEXANDRE,1170,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Claude J.E. ALLEGRE,1171,France,Socialist Group,None,1989-1994,Parti socialiste ,07-1989,male
Michèle ALLIOT-MARIE,1179,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,female
José ÁLVAREZ DE PAZ,1359,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Rui AMARAL,1380,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Gianfranco AMENDOLA,1134,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Europa ,07-1989,male
Georgios ANASTASSOPOULOS,1462,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,male
Hedy d'ANCONA,1432,Netherlands,Socialist Group,None,1989-1994,Partij van de Arbeid ,07-1989,female
Anne ANDRÉ-LÉONARD,1817,Belgium,Liberal and Democratic Reformist Group,None,1989-1994,Parti réformateur libéral ,12-1991,female
Niall ANDREWS,1441,Ireland,Group of the European Democratic Alliance,None,1989-1994,Fianna Fáil Party ,07-1989,male
Didier H.M.F. ANGER,1083,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,male
Bernard ANTONY,1209,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
José APOLINÁRIO,1874,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,01-1993,male
Víctor Manuel ARBELOA MURU,1360,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Aline ARCHIMBAUD,1869,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1992,female
Javier AREITIO TOLEDO,1884,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1993,male
Miguel ARIAS CAÑETE,1351,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Marie-Christine AULAS,1124,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,07-1989,female
Claude AUTANT-LARA,1034,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
Paraskevas AVGERINOS,1463,Greece,Socialist Group,Group of the Party of European Socialists,1989-1994,Panellinio Socialistiko Kinima ,07-1989,male
Gianni BAGET BOZZO,1093,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Richard A. BALFE,1428,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Juan María BANDRÉS MOLET,1155,Spain,The Green Group in the European Parliament,None,1989-1994,Izquierda de los Pueblos ,07-1989,male
Mary Elizabeth BANOTTI,1426,Ireland,Group of the European People's Party (Christian,None,1989-1994,Fine Gael Party ,07-1989,female
José BARATA MOURA,1888,Portugal,Left Unity,None,1989-1994,Coligação Democrática Unitária,10-1993,male
Enrique BARÓN CRESPO,1352,Spain,Socialist Group,None,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Heribert BARRERA I COSTA,7,Spain,Rainbow Group in the European Parliament,None,1989-1994,Coalición por la Europa de los Pueblos,03-1991,male
José BARROS MOURA,1371,Portugal,Left Unity,None,1989-1994,Coligação Democrática Unitária ,07-1989,male
Roger BARTON,981,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Michèle BARZACH,1180,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,07-1989,female
Roberto BARZANTI,1135,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Charles E. BAUR,1035,France,Liberal and Democratic Reformist Group,None,1989-1994,Union pour la démocratie française - Parti social démocrate ,07-1989,male
Christopher BEAZLEY,1429,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Peter BEAZLEY,1421,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Luis Filipe Pais BEIRÔCO,1138,Portugal,Group of the European People's Party (Christian,None,1989-1994,Partido do Centro Democrático Social ,07-1989,male
Maria BELO,1362,Portugal,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista ,07-1989,female
Jean-Paul BENOIT,1210,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Pierre BERNARD-REYMOND,1036,France,Group of the European People's Party (Christian,None,1989-1994,Centre des démocrates sociaux ,07-1989,male
Jan Willem BERTENS,1281,Netherlands,Liberal and Democratic Reformist Group,None,1989-1994,Democraten 66 ,07-1989,male
The Lord Nicholas BETHELL,1422,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Virginio BETTINI,959,Italy,The Green Group in the European Parliament,None,1989-1994,Verdi Arcobaleno ,10-1989,male
Vincenzo BETTIZA,977,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Bouke BEUMER,1451,Netherlands,Group of the European People's Party (Christian,None,1989-1994,Christen Democratisch Appèl ,07-1989,male
Rosaria BINDI,1115,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,female
John A.W. BIRD,1423,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Birgit BJØRNVIG,1242,Denmark,Rainbow Group in the European Parliament,None,1989-1994,Folkebevægelsen mod EF ,07-1989,female
Freddy BLAK,1274,Denmark,Socialist Group,Group of the Party of European Socialists,1989-1994,Socialdemokratiet ,07-1989,male
Neil BLANEY,1019,Ireland,Rainbow Group in the European Parliament,None,1989-1994,Independent ,07-1989,male
Yvan M. BLOT,1211,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
Reinhold L. BOCKLET,1272,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,07-1989,male
Pedro BOFILL ABEILHE,1226,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Reimer BÖGE,1037,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Bruno BOISSIÈRE,1834,France,The Green Group in the European Parliament,None,1989-1994,Les Verts-Europe-Ecologie ,12-1991,male
Alain BOMBARD,1212,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Jens-Peter BONDE,1275,Denmark,Rainbow Group in the European Parliament,None,1989-1994,Folkebevægelsen mod EF ,07-1989,male
Andrea BONETTI,1136,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,female
Rinaldo BONTEMPI,1020,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,male
Franco BORGO,1012,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Jean-Louis BORLOO,986,France,Non-attached Members,None,1989-1994,sans étiquette ,07-1989,male
Jean-Louis BOURLANGES,1026,France,Group of the European People's Party (Christian,None,1989-1994,sans étiquette ,07-1989,male
David Robert BOWE,1321,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,male
Jürgen BRAND,1889,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,11-1993,male
Ursula BRAUN-MOSER,941,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,01-1990,female
Georges de BRÉMOND d'ARS,1741,France,Group of the European People's Party (Christian,None,1989-1994,Union pour la démocratie française - Parti populaire pour la démocratie française ,04-1993,male
Hiltrud BREYER,1059,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,female
Yvon BRIANT,1172,France,Group of the European Democratic Alliance,None,1989-1994,Centre national des indépendants ,07-1989,male
Mathilde M. van den BRINK,948,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,11-1989,female
Rogério BRITO,1840,Portugal,Left Unity,None,1989-1994,Coligação Democrática Unitária,12-1991,male
Elmar BROK,1263,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich Demokratische Union Deutschlands ,07-1989,male
Carlos María BRU PURÓN,1353,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Janey O'Neil BUCHAN,1366,United Kingdom,Socialist Group,Group of the Party of European Socialists,1989-1994,Labour Party ,07-1989,female
Martine BURON,1181,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,female
Pío CABANILLAS GALLAS,1354,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Jesús CABEZÓN ALONSO,1355,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Rafael CALVO ORTEGA,1346,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Centro Democràtico y Social ,07-1989,male
Juan José de la CÁMARA MARTÍNEZ,1227,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
Pedro Manuel CANAVARRO,1201,Portugal,Socialist Group,Rainbow Group in the European Parliament,1989-1994,Partido Socialista ,07-1989,male
Eusebio CANO PINTO,1347,Spain,Socialist Group,Group of the Party of European Socialists,1989-1994,Partido Socialista Obrero Español ,07-1989,male
António CAPUCHO,964,Portugal,Liberal and Democratic Reformist Group,None,1989-1994,Partido Social Democrata ,07-1989,male
Antonio CARIGLIA,1013,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista democratico italiano ,07-1989,male
Pierre CARNITI,1085,Italy,Socialist Group,Group of the Party of European Socialists,1989-1994,Partito socialista italiano ,07-1989,male
Carlos CARVALHAS,1139,Portugal,Left Unity,None,1989-1994,Coligação Democrática Unitária,07-1989,male
José Vicente CARVALHO CARDOSO,1372,Portugal,Group of the European People's Party (Christian,None,1989-1994,Partido do Centro Democrático Social ,07-1989,male
Carlo CASINI,988,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
José Ramón CASO GARCIA,1147,Spain,Liberal and Democratic Reformist Group,None,1989-1994,Centro Democràtico y Social ,07-1989,male
Maria Luisa CASSANMAGNAGO CERRETTI,949,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,female
Bryan M.D. CASSIDY,1424,United Kingdom,European Democratic Group,Group of the European People's Party (Christian,1989-1994,Conservative and Unionist Party ,07-1989,male
Luciana CASTELLINA,947,Italy,Group for the European United Left,None,1989-1994,Partito comunista italiano ,07-1989,female
Anna CATASTA,1116,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,female
Sir Fred CATHERWOOD,1417,United Kingdom,European Democratic Group,None,1989-1994,Conservative and Unionist Party ,07-1989,male
Gérard CAUDRON,1175,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Janine CAYET,1880,France,Liberal and Democratic Reformist Group,None,1989-1994,Union pour la démocratie française ,06-1993,female
Adriana CECI,993,Italy,Group for the European United Left,Socialist Group,1989-1994,Partito comunista italiano ,07-1989,female
Pierre M.A. CEYRAC,1161,France,Technical Group of the European Right,Non-attached Members,1989-1994,Front national ,07-1989,male
Henry CHABERT,1162,France,Group of the European Democratic Alliance,Group of the European People's Party (Christian,1989-1994,Rassemblement pour la République ,07-1989,male
Raphaël M.G. CHANTERIE,1471,Belgium,Group of the European People's Party (Christian,None,1989-1994,Christelijke Volkspartij ,07-1989,male
Raymond CHESA,1877,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,04-1993,male
Claude CHEYSSON,1163,France,Socialist Group,Group of the Party of European Socialists,1989-1994,Parti socialiste ,07-1989,male
Mauro CHIABRANDO,1014,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Frode Nør CHRISTENSEN,1276,Denmark,Group of the European People's Party (Christian,None,1989-1994,Centrum-Demokraterne ,07-1989,male
Ib CHRISTENSEN,1048,Denmark,Rainbow Group in the European Parliament,None,1989-1994,Folkebevægelsen mod EF ,07-1989,male
Ejner Hovgård CHRISTIANSEN,1144,Denmark,Socialist Group,Non-attached Members,1989-1994,Socialdemokratiet ,07-1989,male
