fullName,id,country,eu_group_1,eu_group_2,nation_group,term,start_period_1,gender
Uma AALTONEN,23752,Finland,Group of the Greens/European Free Alliance ,None,Vihreät ,1999-2004,04-2003,female
William ABITBOL,4361,France,Union for Europe of the Nations Group ,Group for a Europe of Democracies and Diversities ,Rassemblement pour la France ,1999-2004,07-1999,male
Gordon J. ADAM,1427,United Kingdom,Group of the Party of European Socialists ,None,Labour Party ,1999-2004,02-2000,male
Alejandro AGAG LONGO,4315,Spain,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Popular ,1999-2004,07-1999,male
Luis Marco AGUIRIANO NALDA,26898,Spain,Group of the Party of European Socialists ,None,Partido Socialista Obrero Español ,1999-2004,04-2004,male
Nuala AHERN,2230,Ireland,Group of the Greens/European Free Alliance ,None,Green Party ,1999-2004,07-1999,female
Sylviane H. AINARDI,1133,France,Confederal Group of the European United Left/Nordic Green Left ,None,Parti communiste français ,1999-2004,07-1999,female
Alexandros ALAVANOS,1461,Greece,Confederal Group of the European United Left/Nordic Green Left ,None,Synaspismos tis Aristeras kai tis Proodou ,1999-2004,07-1999,male
Teresa ALMEIDA GARRETT,4451,Portugal,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Partido Social Democrata ,1999-2004,07-1999,female
Konstantinos ALYSSANDRAKIS,4509,Greece,Confederal Group of the European United Left/Nordic Green Left ,None,Kommounistiko Komma Elladas ,1999-2004,07-1999,male
László A. NAGY,23867,Slovakia,Group of the European People's Party (Christian Democrats) and European Democrats ,None,Strana mad'arskej koalície - Magyar Koalíció Pártja ,1999-2004,04-2003,male
Bent Hindrup ANDERSEN,23645,Denmark,Group for a Europe of Democracies and Diversities ,None,JuniBevægelsen ,1999-2004,03-2003,male
Jan ANDERSSON,2107,Sweden,Group of the Party of European Socialists ,None,Socialdemokratiska arbetarepartiet ,1999-2004,07-1999,male
Ole ANDREASEN,4441,Denmark,"Group of the European Liberal, Democrat and Reform Party ",None,Venstre ,1999-2004,07-1999,male
Anne ANDRÉ-LÉONARD,1817,Belgium,"Group of the European Liberal, Democrat and Reform Party ",None,Parti réformateur libéral/Front démocratique des francophones ,1999-2004,06-2003,female
Niall ANDREWS,1441,Ireland,Union for Europe of the Nations Group ,None,Fianna Fáil Party ,1999-2004,07-1999,male
